"Time","F1",
1,0,
1.01,0,
1.02,0.0064,
1.03,0,
1.04,0.0192,
1.05,0,
1.06,0.0704,
1.07,0,
1.08,0.2752,
1.09,0,
1.1,0,
1.11,1.0496,
1.12,0,
1.13,0,
1.14,1.0496,
1.15,0,
1.16,0,
1.17,0.0448,
1.18,0,
1.19,0,
1.2,1.0496,
1.21,0,
1.22,0,
1.23,1.0496,
1.24,0,
1.25,0.032,
1.26,0,
1.27,0.5504,
1.28,0,
1.29,0.5568,
1.3,0,
1.31,0.5696,
1.32,0,
1.33,0.5824,
1.34,0,
1.35,0.5952,
1.36,0,
1.37,0.608,
1.38,0,
1.39,0.6208,
1.4,0,
1.41,0.6336,
1.42,0,
1.43,0,
1.44,0.6464,
1.45,0,
1.46,0,
1.47,0.6592,
1.48,0,
1.49,0,
1.5,0.672,
1.51,0,
1.52,0,
1.53,0.6848,
1.54,0,
1.55,0,
1.56,0.6976,
1.57,0,
1.58,0,
1.59,0.7104,
1.6,0,
1.61,0,
1.62,0.7232,
1.63,0,
1.64,0,
1.65,0.736,
1.66,0,
1.67,0,
1.68,0.7488,
1.69,0,
1.7,0,
1.71,0.7616,
1.72,0,
1.73,0,
1.74,0.7744,
1.75,0,
1.76,0,
1.77,0.7872,
1.78,0,
1.79,0,
1.8,0.8,
1.81,0,
1.82,0,
1.83,0.8128,
1.84,0,
1.85,0,
1.86,0.8256,
1.87,0,
1.88,0,
1.89,0.8384,
1.9,0,
1.91,0,
1.92,0.8512,
1.93,0,
1.94,0,
1.95,0.864,
1.96,0,
1.97,0,
1.98,0.8768,
1.99,0,
2,0,
2.01,0.8896,
2.02,0,
2.03,0,
2.04,0.9024,
2.05,0,
2.06,0,
2.07,0.9152,
2.08,0,
2.09,0,
2.1,0.928,
2.11,0,
2.12,0,
2.13,0.9408,
2.14,0,
2.15,0,
2.16,0.9536,
2.17,0,
2.18,0,
2.19,0.9664,
2.2,0,
2.21,0,
2.22,0.9792,
2.23,0,
2.24,0,
2.25,0.992,
2.26,0,
2.27,0,
2.28,1.0048,
2.29,0,
2.3,0,
2.31,1.0176,
2.32,0,
2.33,0,
2.34,1.0304,
2.35,0,
2.36,0,
2.37,1.0432,
2.38,0,
2.39,0,
2.4,1.0496,
2.41,0,
2.42,0,
2.43,1.0496,
2.44,0,
2.45,0.0064,
2.46,0,
2.47,0.5376,
2.48,0,
2.49,0.544,
2.5,0,
2.51,0.5568,
2.52,0,
2.53,0.5696,
2.54,0,
2.55,0.5824,
2.56,0,
2.57,0.5952,
2.58,0,
2.59,0.608,
2.6,0,
2.61,0.6208,
2.62,0,
2.63,0.6336,
2.64,0,
2.65,0,
2.66,0.6464,
2.67,0,
2.68,0,
2.69,0.6592,
2.7,0,
2.71,0,
2.72,0.672,
2.73,0,
2.74,0,
2.75,0.6848,
2.76,0,
2.77,0,
2.78,0.6976,
2.79,0,
2.8,0,
2.81,0.7104,
2.82,0,
2.83,0,
2.84,0.7232,
2.85,0,
2.86,0,
2.87,0.736,
2.88,0,
2.89,0,
2.9,0.7488,
2.91,0,
2.92,0,
2.93,0.7616,
2.94,0,
2.95,0,
2.96,0.7744,
2.97,0,
2.98,0,
2.99,0.7872,
3,0,
3.01,0,
3.02,0.8,
3.03,0,
3.04,0,
3.05,0.8128,
3.06,0,
3.07,0,
3.08,0.8256,
3.09,0,
3.1,0,
3.11,0.8384,
3.12,0,
3.13,0,
3.14,0.8512,
3.15,0,
3.16,0,
3.17,0.864,
3.18,0,
3.19,0,
3.2,0.8768,
3.21,0,
3.22,0,
3.23,0.8896,
3.24,0,
3.25,0,
3.26,0.9024,
3.27,0,
3.28,0,
3.29,0.9152,
3.3,0,
3.31,0,
3.32,0.928,
3.33,0,
3.34,0,
3.35,0.9408,
3.36,0,
3.37,0,
3.38,0.9536,
3.39,0,
3.4,0,
3.41,0.9664,
3.42,0,
3.43,0,
3.44,0.9792,
3.45,0,
3.46,0,
3.47,0.992,
3.48,0,
3.49,0,
3.5,1.0048,
3.51,0,
3.52,0,
3.53,1.0176,
3.54,0,
3.55,0,
3.56,1.0304,
3.57,0,
3.58,0,
3.59,1.0432,
3.6,0,
3.61,0,
3.62,1.0496,
3.63,0,
3.64,0,
3.65,1.0496,
3.66,0,
3.67,0.0064,
3.68,0,
3.69,0.5376,
3.7,0,
3.71,0.544,
3.72,0,
3.73,0.5568,
3.74,0,
3.75,0.5696,
3.76,0,
3.77,0.5824,
3.78,0,
3.79,0.5952,
3.8,0,
3.81,0.608,
3.82,0,
3.83,0.6208,
3.84,0,
3.85,0.6336,
3.86,0,
3.87,0,
3.88,0.6464,
3.89,0,
3.9,0,
3.91,0.6592,
3.92,0,
3.93,0,
3.94,0.672,
3.95,0,
3.96,0,
3.97,0.6848,
3.98,0,
3.99,0,
4,0.6976,
4.01,0,
4.02,0,
4.03,0.7104,
4.04,0,
4.05,0,
4.06,0.7232,
4.07,0,
4.08,0,
4.09,0.736,
4.1,0,
4.11,0,
4.12,0.7488,
4.13,0,
4.14,0,
4.15,0.7616,
4.16,0,
4.17,0,
4.18,0.7744,
4.19,0,
4.2,0,
4.21,0.7872,
4.22,0,
4.23,0,
4.24,0.8,
4.25,0,
4.26,0,
4.27,0.8128,
4.28,0,
4.29,0,
4.3,0.8256,
4.31,0,
4.32,0,
4.33,0.8384,
4.34,0,
4.35,0,
4.36,0.8512,
4.37,0,
4.38,0,
4.39,0.864,
4.4,0,
4.41,0,
4.42,0.8768,
4.43,0,
4.44,0,
4.45,0.8896,
4.46,0,
4.47,0,
4.48,0.9024,
4.49,0,
4.5,0,
4.51,0.9152,
