"Time","H1","H2",
1,0,0,
1.01,0,0.1,
1.02,0.0064,0,
1.03,0,0.3,
1.04,0.0192,0,
1.05,0,1.1,
1.06,0.0704,0,
1.07,0,4.3,
1.08,0.2752,0,
1.09,0,10,
1.1,0,6.4,
1.11,1.0496,0,
1.12,0,10,
1.13,0,6.4,
1.14,1.0496,0,
1.15,0,10,
1.16,0,6.4,
1.17,0.0448,0,
1.18,0,10,
1.19,0,6.4,
1.2,1.0496,0,
1.21,0,10,
1.22,0,6.4,
1.23,1.0496,0,
1.24,0,8.5,
1.25,0.032,0,
1.26,0,8.6,
1.27,0.5504,0,
1.28,0,8.7,
1.29,0.5568,0,
1.3,0,8.9,
1.31,0.5696,0,
1.32,0,9.1,
1.33,0.5824,0,
1.34,0,9.3,
1.35,0.5952,0,
1.36,0,9.5,
1.37,0.608,0,
1.38,0,9.7,
1.39,0.6208,0,
1.4,0,9.9,
1.41,0.6336,0,
1.42,0,10,
1.43,0,0.1,
1.44,0.6464,0,
1.45,0,10,
1.46,0,0.3,
1.47,0.6592,0,
1.48,0,10,
1.49,0,0.5,
1.5,0.672,0,
1.51,0,10,
1.52,0,0.7,
1.53,0.6848,0,
1.54,0,10,
1.55,0,0.9,
1.56,0.6976,0,
1.57,0,10,
1.58,0,1.1,
1.59,0.7104,0,
1.6,0,10,
1.61,0,1.3,
1.62,0.7232,0,
1.63,0,10,
1.64,0,1.5,
1.65,0.736,0,
1.66,0,10,
1.67,0,1.7,
1.68,0.7488,0,
1.69,0,10,
1.7,0,1.9,
1.71,0.7616,0,
1.72,0,10,
1.73,0,2.1,
1.74,0.7744,0,
1.75,0,10,
1.76,0,2.3,
1.77,0.7872,0,
1.78,0,10,
1.79,0,2.5,
1.8,0.8,0,
1.81,0,10,
1.82,0,2.7,
1.83,0.8128,0,
1.84,0,10,
1.85,0,2.9,
1.86,0.8256,0,
1.87,0,10,
1.88,0,3.1,
1.89,0.8384,0,
1.9,0,10,
1.91,0,3.3,
1.92,0.8512,0,
1.93,0,10,
1.94,0,3.5,
1.95,0.864,0,
1.96,0,10,
1.97,0,3.7,
1.98,0.8768,0,
1.99,0,10,
2,0,3.9,
2.01,0.8896,0,
2.02,0,10,
2.03,0,4.1,
2.04,0.9024,0,
2.05,0,10,
2.06,0,4.3,
2.07,0.9152,0,
2.08,0,10,
2.09,0,4.5,
2.1,0.928,0,
2.11,0,10,
2.12,0,4.7,
2.13,0.9408,0,
2.14,0,10,
2.15,0,4.9,
2.16,0.9536,0,
2.17,0,10,
2.18,0,5.1,
2.19,0.9664,0,
2.2,0,10,
2.21,0,5.3,
2.22,0.9792,0,
2.23,0,10,
2.24,0,5.5,
2.25,0.992,0,
2.26,0,10,
2.27,0,5.7,
2.28,1.0048,0,
2.29,0,10,
2.3,0,5.9,
2.31,1.0176,0,
2.32,0,10,
2.33,0,6.1,
2.34,1.0304,0,
2.35,0,10,
2.36,0,6.3,
2.37,1.0432,0,
2.38,0,10,
2.39,0,6.4,
2.4,1.0496,0,
2.41,0,10,
2.42,0,6.4,
2.43,1.0496,0,
2.44,0,8.3,
2.45,0.0064,0,
2.46,0,8.4,
2.47,0.5376,0,
2.48,0,8.5,
2.49,0.544,0,
2.5,0,8.7,
2.51,0.5568,0,
2.52,0,8.9,
