"Time","H1","H2",
1,0.1,0,
1.01,0,0.0064,
1.02,0.3,0,
1.03,0,0.0192,
1.04,1.1,0,
1.05,0,0.0704,
1.06,4.3,0,
1.07,0,0.2752,
1.08,17.1,0,
1.09,0,0.64,
1.1,0,0.4096,
1.11,32.8,0,
1.12,0,0.64,
1.13,0,0.4096,
1.14,16.8,0,
1.15,0,0.64,
1.16,0,0.4096,
1.17,17.2,0,
1.18,0,0.64,
1.19,0,0.4096,
1.2,16.5,0,
1.21,0,0.64,
1.22,0,0.4096,
1.23,8.5,0,
1.24,0,0.544,
1.25,9,0,
1.26,0,0.5504,
1.27,8.7,0,
1.28,0,0.5568,
1.29,8.9,0,
1.3,0,0.5696,
1.31,9.1,0,
1.32,0,0.5824,
1.33,9.3,0,
1.34,0,0.5952,
1.35,9.5,0,
1.36,0,0.608,
1.37,9.7,0,
1.38,0,0.6208,
1.39,9.9,0,
1.4,0,0.6336,
1.41,10.1,0,
1.42,0,0.64,
1.43,0,0.0064,
1.44,10.3,0,
1.45,0,0.64,
1.46,0,0.0192,
1.47,10.5,0,
1.48,0,0.64,
1.49,0,0.032,
1.5,10.7,0,
1.51,0,0.64,
1.52,0,0.0448,
1.53,10.9,0,
1.54,0,0.64,
1.55,0,0.0576,
1.56,11.1,0,
1.57,0,0.64,
1.58,0,0.0704,
1.59,11.3,0,
1.6,0,0.64,
1.61,0,0.0832,
1.62,11.5,0,
1.63,0,0.64,
1.64,0,0.096,
1.65,11.7,0,
1.66,0,0.64,
1.67,0,0.1088,
1.68,11.9,0,
1.69,0,0.64,
1.7,0,0.1216,
1.71,12.1,0,
1.72,0,0.64,
1.73,0,0.1344,
1.74,12.3,0,
1.75,0,0.64,
1.76,0,0.1472,
1.77,12.5,0,
1.78,0,0.64,
1.79,0,0.16,
1.8,12.7,0,
1.81,0,0.64,
1.82,0,0.1728,
1.83,12.9,0,
1.84,0,0.64,
1.85,0,0.1856,
1.86,13.1,0,
1.87,0,0.64,
1.88,0,0.1984,
1.89,13.3,0,
1.9,0,0.64,
1.91,0,0.2112,
1.92,13.5,0,
1.93,0,0.64,
1.94,0,0.224,
1.95,13.7,0,
1.96,0,0.64,
1.97,0,0.2368,
1.98,13.9,0,
1.99,0,0.64,
2,0,0.2496,
2.01,14.1,0,
2.02,0,0.64,
2.03,0,0.2624,
2.04,14.3,0,
2.05,0,0.64,
2.06,0,0.2752,
2.07,14.5,0,
2.08,0,0.64,
2.09,0,0.288,
2.1,14.7,0,
2.11,0,0.64,
2.12,0,0.3008,
2.13,14.9,0,
2.14,0,0.64,
2.15,0,0.3136,
2.16,15.1,0,
2.17,0,0.64,
2.18,0,0.3264,
2.19,15.3,0,
2.2,0,0.64,
2.21,0,0.3392,
2.22,15.5,0,
2.23,0,0.64,
2.24,0,0.352,
2.25,15.7,0,
2.26,0,0.64,
2.27,0,0.3648,
2.28,15.9,0,
2.29,0,0.64,
2.3,0,0.3776,
2.31,16.1,0,
2.32,0,0.64,
2.33,0,0.3904,
2.34,16.3,0,
2.35,0,0.64,
2.36,0,0.4032,
2.37,16.5,0,
2.38,0,0.64,
2.39,0,0.4096,
2.4,16.6,0,
2.41,0,0.64,
2.42,0,0.4096,
2.43,8.3,0,
2.44,0,0.5312,
2.45,8.4,0,
2.46,0,0.5376,
2.47,8.5,0,
2.48,0,0.544,
2.49,8.7,0,
2.5,0,0.5568,
2.51,8.9,0,
2.52,0,0.5696,
2.53,9.1,0,
2.54,0,0.5824,
2.55,9.3,0,
2.56,0,0.5952,
2.57,9.5,0,
2.58,0,0.608,
2.59,9.7,0,
2.6,0,0.6208,
2.61,9.9,0,
2.62,0,0.6336,
2.63,10.1,0,
2.64,0,0.64,
2.65,0,0.0064,
2.66,10.3,0,
2.67,0,0.64,
2.68,0,0.0192,
2.69,10.5,0,
2.7,0,0.64,
2.71,0,0.032,
2.72,10.7,0,
2.73,0,0.64,
2.74,0,0.0448,
2.75,10.9,0,
2.76,0,0.64,
2.77,0,0.0576,
2.78,11.1,0,
2.79,0,0.64,
2.8,0,0.0704,
2.81,11.3,0,
2.82,0,0.64,
2.83,0,0.0832,
2.84,11.5,0,
2.85,0,0.64,
2.86,0,0.096,
2.87,11.7,0,
2.88,0,0.64,
2.89,0,0.1088,
2.9,11.9,0,
2.91,0,0.64,
2.92,0,0.1216,
2.93,12.1,0,
2.94,0,0.64,
2.95,0,0.1344,
2.96,12.3,0,
2.97,0,0.64,
2.98,0,0.1472,
2.99,12.5,0,
3,0,0.64,
3.01,0,0.16,
3.02,12.7,0,
3.03,0,0.64,
3.04,0,0.1728,
3.05,12.9,0,
3.06,0,0.64,
3.07,0,0.1856,
3.08,13.1,0,
3.09,0,0.64,
3.1,0,0.1984,
3.11,13.3,0,
3.12,0,0.64,
3.13,0,0.2112,
3.14,13.5,0,
3.15,0,0.64,
3.16,0,0.224,
3.17,13.7,0,
3.18,0,0.64,
3.19,0,0.2368,
3.2,13.9,0,
3.21,0,0.64,
3.22,0,0.2496,
3.23,14.1,0,
3.24,0,0.64,
3.25,0,0.2624,
3.26,14.3,0,
3.27,0,0.64,
3.28,0,0.2752,
3.29,14.5,0,
3.3,0,0.64,
3.31,0,0.288,
3.32,14.7,0,
3.33,0,0.64,
3.34,0,0.3008,
3.35,14.9,0,
3.36,0,0.64,
3.37,0,0.3136,
3.38,15.1,0,
3.39,0,0.64,
3.4,0,0.3264,
3.41,15.3,0,
3.42,0,0.64,
3.43,0,0.3392,
3.44,15.5,0,
3.45,0,0.64,
3.46,0,0.352,
3.47,15.7,0,
3.48,0,0.64,
3.49,0,0.3648,
3.5,15.9,0,
3.51,0,0.64,
3.52,0,0.3776,
3.53,16.1,0,
3.54,0,0.64,
3.55,0,0.3904,
3.56,16.3,0,
3.57,0,0.64,
3.58,0,0.4032,
3.59,16.5,0,
3.6,0,0.64,
3.61,0,0.4096,
3.62,16.6,0,
3.63,0,0.64,
3.64,0,0.4096,
3.65,8.3,0,
3.66,0,0.5312,
3.67,8.4,0,
3.68,0,0.5376,
3.69,8.5,0,
3.7,0,0.544,
3.71,8.7,0,
3.72,0,0.5568,
3.73,8.9,0,
3.74,0,0.5696,
3.75,9.1,0,
3.76,0,0.5824,
3.77,9.3,0,
3.78,0,0.5952,
3.79,9.5,0,
3.8,0,0.608,
3.81,9.7,0,
3.82,0,0.6208,
3.83,9.9,0,
3.84,0,0.6336,
3.85,10.1,0,
3.86,0,0.64,
3.87,0,0.0064,
3.88,10.3,0,
3.89,0,0.64,
3.9,0,0.0192,
3.91,10.5,0,
3.92,0,0.64,
3.93,0,0.032,
3.94,10.7,0,
3.95,0,0.64,
3.96,0,0.0448,
3.97,10.9,0,
3.98,0,0.64,
3.99,0,0.0576,
4,11.1,0,
4.01,0,0.64,
4.02,0,0.0704,
4.03,11.3,0,
4.04,0,0.64,
4.05,0,0.0832,
4.06,11.5,0,
4.07,0,0.64,
4.08,0,0.096,
4.09,11.7,0,
4.1,0,0.64,
4.11,0,0.1088,
4.12,11.9,0,
4.13,0,0.64,
4.14,0,0.1216,
4.15,12.1,0,
4.16,0,0.64,
4.17,0,0.1344,
4.18,12.3,0,
4.19,0,0.64,
4.2,0,0.1472,
4.21,12.5,0,
4.22,0,0.64,
4.23,0,0.16,
4.24,12.7,0,
4.25,0,0.64,
4.26,0,0.1728,
4.27,12.9,0,
4.28,0,0.64,
4.29,0,0.1856,
4.3,13.1,0,
4.31,0,0.64,
4.32,0,0.1984,
4.33,13.3,0,
4.34,0,0.64,
4.35,0,0.2112,
4.36,13.5,0,
4.37,0,0.64,
4.38,0,0.224,
4.39,13.7,0,
4.4,0,0.64,
4.41,0,0.2368,
4.42,13.9,0,
4.43,0,0.64,
4.44,0,0.2496,
4.45,14.1,0,
4.46,0,0.64,
4.47,0,0.2624,
4.48,14.3,0,
