"Time","F1",
0.5,1,
0.51,1,
0.52,1,
0.53,1,
0.54,1,
0.55,1,
0.56,1,
0.57,1,
0.58,1,
0.59,3,
0.6,3,
0.61,3,
0.62,3,
0.63,3,
0.64,3,
0.65,3,
0.66,3,
0.67,11,
0.68,11,
0.69,11,
0.7,11,
0.71,11,
0.72,11,
0.73,11,
0.74,11,
0.75,43,
0.76,43,
0.77,43,
0.78,43,
0.79,43,
0.8,43,
0.81,43,
0.82,43,
0.83,43,
0.84,171,
0.85,171,
0.86,171,
0.87,171,
0.88,171,
0.89,171,
0.9,171,
0.91,171,
0.92,171,
0.93,683,
0.94,683,
0.95,683,
0.96,683,
0.97,683,
0.98,683,
0.99,683,
1,683,
1.01,683,
1.02,872,
1.03,872,
1.04,872,
1.05,872,
1.06,872,
1.07,872,
1.08,872,
1.09,872,
1.1,872,
1.11,436,
1.12,436,
1.13,436,
1.14,436,
1.15,436,
1.16,436,
1.17,436,
1.18,436,
1.19,436,
1.2,436,
1.21,436,
1.22,436,
1.23,436,
1.24,436,
1.25,436,
1.26,436,
1.27,436,
1.28,436,
1.29,218,
1.3,218,
1.31,218,
1.32,218,
1.33,218,
1.34,218,
1.35,218,
1.36,218,
1.37,218,
1.38,219,
1.39,219,
1.4,219,
1.41,219,
1.42,219,
1.43,219,
1.44,219,
1.45,219,
1.46,219,
1.47,110,
1.48,110,
1.49,110,
1.5,110,
1.51,110,
1.52,110,
1.53,110,
1.54,110,
1.55,110,
1.56,111,
1.57,111,
1.58,111,
1.59,111,
1.6,111,
1.61,111,
1.62,111,
1.63,111,
1.64,111,
1.65,112,
1.66,112,
1.67,112,
1.68,112,
1.69,112,
1.7,112,
1.71,112,
1.72,112,
1.73,112,
1.74,114,
1.75,114,
1.76,114,
1.77,114,
1.78,114,
1.79,114,
1.8,114,
1.81,114,
1.82,114,
1.83,116,
1.84,116,
1.85,116,
1.86,116,
1.87,116,
1.88,116,
1.89,116,
1.9,116,
1.91,116,
1.92,118,
1.93,118,
1.94,118,
1.95,118,
1.96,118,
1.97,118,
1.98,118,
1.99,118,
2,118,
2.01,120,
2.02,120,
2.03,120,
2.04,120,
2.05,120,
2.06,120,
2.07,120,
2.08,120,
2.09,120,
2.1,122,
2.11,122,
2.12,122,
2.13,122,
2.14,122,
2.15,122,
2.16,122,
2.17,122,
2.18,122,
2.19,124,
2.2,124,
2.21,124,
2.22,124,
2.23,124,
2.24,124,
2.25,124,
2.26,124,
2.27,124,
2.28,126,
2.29,126,
2.3,126,
2.31,126,
2.32,126,
2.33,126,
2.34,126,
2.35,126,
2.36,128,
2.37,128,
2.38,128,
2.39,128,
2.4,128,
2.41,128,
2.42,128,
2.43,128,
2.44,128,
2.45,130,
2.46,130,
2.47,130,
2.48,130,
2.49,130,
2.5,130,
2.51,130,
2.52,130,
2.53,130,
2.54,132,
2.55,132,
2.56,132,
2.57,132,
2.58,132,
2.59,132,
2.6,132,
2.61,132,
2.62,132,
2.63,134,
2.64,134,
2.65,134,
2.66,134,
2.67,134,
2.68,134,
2.69,134,
2.7,134,
2.71,134,
2.72,135,
2.73,135,
2.74,136,
2.75,136,
2.76,136,
2.77,136,
2.78,136,
2.79,136,
2.8,136,
2.81,137,
2.82,137,
2.83,138,
2.84,138,
2.85,138,
2.86,138,
2.87,138,
2.88,138,
2.89,138,
2.9,139,
2.91,139,
2.92,140,
2.93,140,
2.94,140,
2.95,140,
2.96,140,
2.97,140,
2.98,140,
2.99,140,
3,71,
3.01,71,
3.02,71,
3.03,71,
3.04,71,
3.05,71,
3.06,71,
3.07,71,
3.08,72,
3.09,72,
3.1,72,
3.11,72,
3.12,72,
3.13,72,
3.14,72,
3.15,72,
3.16,73,
3.17,73,
3.18,73,
3.19,73,
3.2,73,
3.21,73,
3.22,73,
3.23,73,
3.24,75,
3.25,75,
3.26,75,
3.27,75,
3.28,75,
3.29,75,
3.3,75,
3.31,75,
3.32,77,
3.33,77,
3.34,77,
3.35,77,
3.36,77,
3.37,77,
3.38,77,
3.39,77,
3.4,79,
3.41,79,
3.42,79,
3.43,79,
3.44,79,
3.45,79,
3.46,79,
3.47,79,
3.48,81,
3.49,81,
3.5,81,
3.51,81,
3.52,81,
3.53,81,
3.54,81,
3.55,81,
3.56,83,
3.57,83,
3.58,83,
3.59,83,
3.6,83,
3.61,83,
3.62,83,
3.63,83,
3.64,85,
3.65,85,
3.66,85,
3.67,85,
3.68,85,
3.69,85,
3.7,85,
3.71,85,
3.72,87,
3.73,87,
3.74,87,
3.75,87,
3.76,87,
3.77,87,
3.78,87,
3.79,87,
3.8,89,
3.81,89,
3.82,89,
3.83,89,
3.84,89,
3.85,89,
3.86,89,
3.87,89,
3.88,91,
3.89,91,
3.9,91,
3.91,91,
3.92,91,
3.93,91,
3.94,91,
3.95,91,
3.96,45,
3.97,45,
3.98,45,
3.99,45,
4,45,
4.01,45,
4.02,45,
4.03,45,
4.04,47,
4.05,47,
4.06,47,
4.07,47,
4.08,47,
4.09,47,
4.1,47,
4.11,47,
4.12,48,
4.13,48,
4.14,48,
4.15,48,
4.16,48,
4.17,48,
4.18,48,
4.19,48,
4.2,50,
4.21,50,
4.22,50,
4.23,50,
4.24,50,
4.25,50,
4.26,50,
4.27,50,
4.28,52,
4.29,52,
4.3,52,
4.31,52,
4.32,52,
4.33,52,
4.34,52,
4.35,52,
4.36,54,
4.37,54,
4.38,54,
4.39,54,
4.4,54,
4.41,54,
4.42,54,
4.43,54,
4.44,56,
4.45,56,
4.46,56,
4.47,56,
4.48,56,
4.49,56,
4.5,56,
4.51,56,
4.52,58,
4.53,58,
4.54,58,
4.55,58,
4.56,58,
4.57,58,
4.58,58,
4.59,58,
4.6,60,
4.61,60,
4.62,60,
4.63,60,
4.64,60,
4.65,60,
4.66,60,
4.67,60,
4.68,62,
4.69,62,
4.7,62,
4.71,62,
4.72,62,
4.73,62,
4.74,62,
4.75,62,
4.76,64,
4.77,64,
4.78,64,
4.79,64,
4.8,64,
4.81,64,
4.82,64,
4.83,64,
4.84,66,
4.85,66,
4.86,66,
4.87,66,
4.88,66,
4.89,66,
4.9,66,
4.91,66,
4.92,68,
4.93,68,
4.94,68,
4.95,68,
4.96,68,
4.97,68,
4.98,68,
4.99,68,
5,70,
5.01,70,
5.02,70,
5.03,70,
5.04,70,
5.05,70,
5.06,70,
5.07,70,
5.08,72,
5.09,72,
5.1,72,
5.11,72,
5.12,72,
5.13,72,
5.14,72,
5.15,72,
5.16,36,
5.17,36,
5.18,36,
5.19,36,
5.2,36,
5.21,36,
5.22,36,
5.23,36,
5.24,37,
5.25,37,
5.26,37,
5.27,37,
5.28,37,
5.29,37,
5.3,37,
5.31,37,
5.32,38,
5.33,38,
5.34,38,
5.35,38,
5.36,38,
5.37,38,
5.38,38,
5.39,38,
5.4,40,
5.41,40,
5.42,40,
5.43,40,
5.44,40,
5.45,40,
5.46,40,
5.47,40,
5.48,42,
5.49,42,
5.5,42,
5.51,42,
5.52,42,
5.53,42,
5.54,42,
5.55,42,
5.56,44,
5.57,44,
5.58,44,
5.59,44,
5.6,44,
5.61,44,
5.62,44,
5.63,44,
5.64,46,
5.65,46,
5.66,46,
5.67,46,
5.68,46,
5.69,46,
5.7,46,
5.71,46,
5.72,48,
5.73,48,
5.74,48,
5.75,48,
5.76,48,
5.77,48,
5.78,48,
5.79,48,
5.8,50,
5.81,50,
5.82,50,
5.83,50,
5.84,50,
5.85,50,
5.86,50,
5.87,50,
5.88,52,
5.89,52,
5.9,52,
5.91,52,
5.92,52,
5.93,52,
5.94,52,
5.95,52,
5.96,54,
5.97,54,
5.98,54,
5.99,54,
6,54,
6.01,54,
6.02,54,
6.03,54,
6.04,56,
6.05,56,
6.06,56,
6.07,56,
6.08,56,
6.09,56,
6.1,56,
6.11,56,
6.12,58,
6.13,58,
6.14,58,
6.15,58,
6.16,58,
6.17,58,
6.18,58,
6.19,58,
6.2,60,
6.21,60,
6.22,60,
6.23,60,
6.24,60,
6.25,60,
6.26,60,
6.27,60,
6.28,62,
6.29,62,
6.3,62,
6.31,62,
6.32,62,
6.33,62,
6.34,62,
6.35,62,
6.36,64,
6.37,64,
6.38,64,
6.39,64,
6.4,64,
6.41,64,
6.42,64,
6.43,64,
6.44,66,
6.45,66,
6.46,66,
6.47,66,
6.48,66,
6.49,66,
6.5,66,
6.51,66,
6.52,68,
6.53,68,
6.54,68,
6.55,68,
6.56,68,
6.57,68,
6.58,68,
6.59,68,
6.6,70,
6.61,70,
6.62,70,
6.63,70,
6.64,70,
6.65,70,
6.66,70,
6.67,70,
6.68,72,
6.69,72,
6.7,72,
6.71,72,
6.72,72,
6.73,72,
6.74,72,
6.75,72,
6.76,74,
6.77,74,
6.78,74,
6.79,74,
6.8,74,
6.81,74,
6.82,74,
6.83,74,
6.84,76,
6.85,76,
6.86,76,
6.87,76,
6.88,76,
6.89,76,
6.9,76,
6.91,76,
6.92,78,
6.93,78,
6.94,78,
6.95,78,
6.96,78,
6.97,78,
6.98,78,
6.99,78,
7,80,
7.01,80,
7.02,80,
7.03,80,
7.04,80,
7.05,80,
7.06,80,
7.07,80,
7.08,82,
7.09,82,
7.1,82,
7.11,82,
7.12,82,
7.13,82,
7.14,82,
7.15,82,
7.16,84,
7.17,84,
7.18,84,
7.19,84,
7.2,84,
7.21,84,
7.22,84,
7.23,84,
7.24,86,
7.25,86,
7.26,86,
7.27,86,
7.28,86,
7.29,86,
7.3,86,
7.31,86,
7.32,88,
7.33,88,
7.34,88,
7.35,88,
7.36,88,
7.37,88,
7.38,88,
7.39,88,
7.4,90,
7.41,90,
7.42,90,
7.43,90,
7.44,90,
7.45,90,
7.46,90,
7.47,90,
7.48,91,
7.49,91,
7.5,91,
7.51,91,
7.52,91,
7.53,91,
7.54,91,
7.55,91,
7.56,46,
7.57,46,
7.58,46,
7.59,46,
7.6,46,
7.61,46,
7.62,46,
7.63,46,
7.64,47,
7.65,47,
7.66,47,
7.67,47,
7.68,47,
7.69,47,
7.7,47,
7.71,47,
7.72,48,
7.73,48,
7.74,48,
7.75,48,
7.76,48,
7.77,48,
7.78,48,
7.79,48,
7.8,50,
7.81,50,
7.82,50,
7.83,50,
7.84,50,
7.85,50,
7.86,50,
7.87,50,
7.88,52,
7.89,52,
7.9,52,
7.91,52,
7.92,52,
7.93,52,
7.94,52,
7.95,52,
7.96,54,
7.97,54,
7.98,54,
7.99,54,
8,54,
8.01,54,
8.02,54,
8.03,54,
8.04,56,
8.05,56,
8.06,56,
8.07,56,
8.08,56,
8.09,56,
8.1,56,
8.11,56,
8.12,58,
8.13,58,
8.14,58,
8.15,58,
8.16,58,
8.17,58,
8.18,58,
8.19,58,
8.2,60,
8.21,60,
8.22,60,
8.23,60,
8.24,60,
8.25,60,
8.26,60,
8.27,60,
8.28,62,
8.29,62,
8.3,62,
8.31,62,
8.32,62,
8.33,62,
8.34,62,
8.35,62,
8.36,64,
8.37,64,
8.38,64,
8.39,64,
8.4,64,
8.41,64,
8.42,64,
8.43,64,
8.44,66,
8.45,66,
8.46,66,
8.47,66,
8.48,66,
8.49,66,
8.5,66,
8.51,66,
8.52,68,
8.53,68,
8.54,68,
8.55,68,
8.56,68,
8.57,68,
8.58,68,
8.59,68,
8.6,70,
8.61,70,
8.62,70,
8.63,70,
8.64,70,
8.65,70,
8.66,70,
8.67,70,
8.68,72,
8.69,72,
8.7,72,
8.71,72,
8.72,72,
8.73,72,
8.74,72,
8.75,72,
8.76,36,
8.77,36,
8.78,36,
8.79,36,
8.8,36,
8.81,36,
8.82,36,
8.83,36,
8.84,37,
8.85,37,
8.86,37,
8.87,37,
8.88,37,
8.89,37,
8.9,37,
8.91,37,
8.92,38,
8.93,38,
8.94,38,
8.95,38,
8.96,38,
8.97,38,
8.98,38,
8.99,38,
9,40,
9.01,40,
9.02,40,
9.03,40,
9.04,40,
9.05,40,
9.06,40,
9.07,40,
9.08,42,
9.09,42,
9.1,42,
9.11,42,
9.12,42,
9.13,42,
9.14,42,
9.15,42,
9.16,44,
9.17,44,
9.18,44,
9.19,44,
9.2,44,
9.21,44,
9.22,44,
9.23,44,
9.24,46,
9.25,46,
9.26,46,
9.27,46,
9.28,46,
9.29,46,
9.3,46,
9.31,46,
9.32,48,
9.33,48,
9.34,48,
9.35,48,
9.36,48,
9.37,48,
9.38,48,
9.39,48,
9.4,50,
9.41,50,
9.42,50,
9.43,50,
9.44,50,
9.45,50,
9.46,50,
9.47,50,
9.48,52,
9.49,52,
9.5,52,
9.51,52,
9.52,52,
9.53,52,
9.54,52,
9.55,52,
9.56,54,
9.57,54,
9.58,54,
9.59,54,
9.6,54,
9.61,54,
9.62,54,
9.63,54,
9.64,56,
9.65,56,
9.66,56,
9.67,56,
9.68,56,
9.69,56,
9.7,56,
9.71,56,
9.72,58,
9.73,58,
9.74,58,
9.75,58,
9.76,58,
9.77,58,
9.78,58,
9.79,58,
9.8,60,
9.81,60,
9.82,60,
9.83,60,
9.84,60,
9.85,60,
9.86,60,
9.87,60,
9.88,62,
9.89,62,
9.9,62,
9.91,62,
9.92,62,
9.93,62,
