"Time","F1","F2","F3",
0.5,0.3,0.3,0.3,
0.51,0.3,0.3,0.3,
0.52,0.3,0.3,0.3,
0.53,0.3,0.3,0.3,
0.54,0.3,0.3,0.3,
0.55,0.3,0.3,0.3,
0.56,0.3,0.3,0.3,
0.57,0.3,0.3,0.3,
0.58,0.3,0.3,0.3,
0.59,0.3,0.3,0.3,
0.6,0.3,0.3,0.3,
0.61,0.11,0.3,0.3,
0.62,0.11,0.3,0.3,
0.63,0.11,0.3,0.3,
0.64,0.11,0.3,0.3,
0.65,0.11,0.3,0.3,
0.66,0.11,0.3,0.3,
0.67,0.11,0.3,0.3,
0.68,0.11,0.3,0.3,
0.69,0.11,0.3,0.3,
0.7,0.11,0.3,0.3,
0.71,0.10512,0.3,0.3,
0.72,0.10512,0.3,0.3,
0.73,0.10512,0.3,0.3,
0.74,0.10512,0.3,0.3,
0.75,0.10512,0.3,0.3,
0.76,0.10512,0.3,0.3,
0.77,0.10512,0.3,0.3,
0.78,0.10512,0.3,0.3,
0.79,0.10512,0.3,0.3,
0.8,0.10512,0.3,0.3,
0.81,0.10044,0.3,0.3,
0.82,0.10044,0.3,0.3,
0.83,0.10044,0.3,0.3,
0.84,0.10044,0.3,0.3,
0.85,0.10044,0.3,0.3,
0.86,0.10044,0.3,0.3,
0.87,0.10044,0.3,0.3,
0.88,0.10044,0.3,0.3,
0.89,0.10044,0.3,0.3,
0.9,0.10044,0.3,0.3,
0.91,0.1,0.3,0.3,
0.92,0.1,0.3,0.3,
0.93,0.1,0.3,0.3,
0.94,0.1,0.3,0.3,
0.95,0.1,0.3,0.3,
0.96,0.1,0.3,0.3,
0.97,0.1,0.3,0.3,
0.98,0.1,0.3,0.3,
0.99,0.1,0.3,0.3,
1,0.1,0.3,0.3,
1.01,0.1,0.3,0.3,
1.02,0.11,0.3,0.3,
1.03,0.11,0.3,0.3,
1.04,0.11,0.3,0.3,
1.05,0.11,0.3,0.3,
1.06,0.11,0.3,0.3,
1.07,0.11,0.3,0.3,
1.08,0.11,0.3,0.3,
1.09,0.11,0.3,0.3,
1.1,0.11,0.3,0.3,
1.11,0.11,0.3,0.3,
1.12,0.11,0.3,0.3,
1.13,0.11,0.3,0.3,
1.14,0.11945,0.3,0.3,
1.15,0.11945,0.3,0.3,
1.16,0.11945,0.3,0.3,
1.17,0.11945,0.3,0.3,
1.18,0.11945,0.3,0.3,
1.19,0.11945,0.3,0.3,
1.2,0.11945,0.3,0.3,
1.21,0.11945,0.3,0.3,
1.22,0.11945,0.3,0.3,
1.23,0.11945,0.3,0.3,
1.24,0.11945,0.3,0.3,
1.25,0.11,0.3,0.3,
1.26,0.11,0.3,0.3,
1.27,0.11,0.3,0.3,
1.28,0.11,0.3,0.3,
1.29,0.11,0.3,0.3,
1.3,0.11,0.3,0.3,
1.31,0.11,0.3,0.3,
1.32,0.11,0.3,0.3,
1.33,0.11,0.3,0.3,
1.34,0.11,0.3,0.3,
1.35,0.1,0.3,0.3,
1.36,0.1,0.3,0.3,
1.37,0.1,0.3,0.3,
1.38,0.1,0.3,0.3,
1.39,0.1,0.3,0.3,
1.4,0.1,0.3,0.3,
1.41,0.1,0.3,0.3,
1.42,0.1,0.3,0.3,
1.43,0.1,0.3,0.3,
1.44,0.1,0.3,0.3,
1.45,0.1,0.3,0.3,
1.46,0.1,0.3,0.3,
1.47,0.1,0.3,0.3,
1.48,0.1,0.3,0.3,
1.49,0.1,0.3,0.3,
1.5,0.1,0.3,0.3,
1.51,0.1,0.3,0.3,
1.52,0.1,0.3,0.3,
1.53,0.1,0.3,0.3,
1.54,0.1,0.3,0.3,
1.55,0.1,0.3,0.3,
1.56,0.1,0.3,0.3,
1.57,0.1,0.3,0.3,
1.58,0.1,0.3,0.3,
1.59,0.1,0.3,0.3,
1.6,0.1,0.3,0.3,
1.61,0.1,0.3,0.3,
1.62,0.1,0.3,0.3,
1.63,0.1,0.3,0.3,
1.64,0.1,0.3,0.3,
1.65,0.1,0.3,0.3,
1.66,0.1,0.3,0.3,
1.67,0.1,0.3,0.3,
1.68,0.1,0.3,0.3,
1.69,0.1,0.3,0.3,
1.7,0.1,0.3,0.3,
1.71,0.1,0.3,0.3,
1.72,0.1,0.3,0.3,
1.73,0.1,0.3,0.3,
1.74,0.1,0.3,0.3,
1.75,0.1,0.3,0.3,
1.76,0.1,0.3,0.3,
1.77,0.1,0.3,0.3,
1.78,0.1,0.3,0.3,
1.79,0.1,0.3,0.3,
1.8,0.1,0.3,0.3,
1.81,0.1,0.3,0.3,
1.82,0.1,0.3,0.3,
1.83,0.1,0.3,0.3,
1.84,0.1,0.3,0.3,
1.85,0.1,0.3,0.3,
1.86,0.1,0.3,0.3,
1.87,0.1,0.3,0.3,
1.88,0.1,0.3,0.3,
1.89,0.1,0.3,0.3,
1.9,0.1,0.3,0.3,
1.91,0.1,0.3,0.3,
1.92,0.1,0.3,0.3,
1.93,0.1,0.3,0.3,
1.94,0.1,0.3,0.3,
1.95,0.1,0.3,0.3,
1.96,0.1,0.3,0.3,
1.97,0.1,0.3,0.3,
1.98,0.1,0.3,0.3,
1.99,0.1,0.3,0.3,
2,0.1,0.3,0.3,
2.01,0.1,0.3,0.3,
2.02,0.1,0.3,0.3,
2.03,0.1,0.3,0.3,
2.04,0.1,0.3,0.3,
2.05,0.1,0.3,0.3,
2.06,0.1,0.3,0.3,
2.07,0.1,0.3,0.3,
2.08,0.1,0.3,0.3,
2.09,0.1,0.3,0.3,
2.1,0.1,0.3,0.3,
2.11,0.1,0.3,0.3,
2.12,0.1,0.3,0.3,
2.13,0.1,0.3,0.3,
2.14,0.1,0.3,0.3,
2.15,0.1,0.3,0.3,
2.16,0.1,0.3,0.3,
2.17,0.1,0.3,0.3,
2.18,0.1,0.3,0.3,
2.19,0.1,0.3,0.3,
