"Time","F1","F2","F3",
0.5,1,1,1,
0.51,1,1,1,
0.52,1,1,1,
0.53,1,1,1,
0.54,1,1,1,
0.55,1,1,1,
0.56,1,1,1,
0.57,1,1,1,
0.58,1,1,1,
0.59,1,1,1,
0.6,1,1,1,
0.61,3,1,1,
0.62,3,1,1,
0.63,3,1,1,
0.64,3,1,1,
0.65,3,1,1,
0.66,3,1,1,
0.67,3,1,1,
0.68,3,1,1,
0.69,3,1,1,
0.7,3,1,1,
0.71,11,1,1,
0.72,11,1,1,
0.73,11,1,1,
0.74,11,1,1,
0.75,11,1,1,
0.76,11,1,1,
0.77,11,1,1,
0.78,11,1,1,
0.79,11,1,1,
0.8,11,1,1,
0.81,43,1,1,
0.82,43,1,1,
0.83,43,1,1,
0.84,43,1,1,
0.85,43,1,1,
0.86,43,1,1,
0.87,43,1,1,
0.88,43,1,1,
0.89,43,1,1,
0.9,43,1,1,
0.91,171,1,1,
0.92,171,1,1,
0.93,171,1,1,
0.94,171,1,1,
0.95,171,1,1,
0.96,171,1,1,
0.97,171,1,1,
0.98,171,1,1,
0.99,171,1,1,
1,171,1,1,
1.01,171,1,1,
1.02,142,1,1,
1.03,142,1,1,
1.04,142,1,1,
1.05,142,1,1,
1.06,142,1,1,
1.07,142,1,1,
1.08,142,1,1,
1.09,142,1,1,
1.1,142,1,1,
1.11,142,1,1,
1.12,142,1,1,
1.13,142,1,1,
1.14,72,1,1,
1.15,72,1,1,
1.16,72,1,1,
1.17,72,1,1,
1.18,72,1,1,
1.19,72,1,1,
1.2,72,1,1,
1.21,72,1,1,
1.22,72,1,1,
1.23,72,1,1,
1.24,72,1,1,
1.25,73,1,1,
1.26,73,1,1,
1.27,73,1,1,
1.28,73,1,1,
1.29,73,1,1,
1.3,73,1,1,
1.31,73,1,1,
1.32,73,1,1,
1.33,73,1,1,
1.34,73,1,1,
1.35,75,1,1,
1.36,75,1,1,
1.37,75,1,1,
1.38,75,1,1,
1.39,75,1,1,
1.4,75,1,1,
1.41,75,1,1,
1.42,75,1,1,
